ano,produto,producao_total,valor_total_producao
1974,Caju,4789822.0,0.0
1974,Castanha de caju,,
1975,Caju,4661289.0,0.0
1975,Castanha de caju,,
1976,Caju,6207889.0,0.0
1976,Castanha de caju,,
1977,Caju,6712726.0,0.0
1977,Castanha de caju,,
1978,Caju,9204380.0,0.0
1978,Castanha de caju,,
1979,Caju,5855818.0,0.0
1979,Castanha de caju,,
1980,Caju,6600538.0,0.0
1980,Castanha de caju,,
1981,Caju,7352145.0,0.0
1981,Castanha de caju,,
1982,Caju,9416627.0,0.0
1982,Castanha de caju,,
1983,Caju,3531339.0,0.0
1983,Castanha de caju,,
1984,Caju,11297380.0,0.0
1984,Castanha de caju,,
1985,Caju,11416748.0,0.0
1985,Castanha de caju,,
1986,Caju,8205758.0,0.0002
1986,Castanha de caju,,
1987,Caju,10437471.0,0.0012000000000000001
1987,Castanha de caju,,
1988,Caju,,
1988,Castanha de caju,133355.0,0.006400000000000002
1989,Caju,,
1989,Castanha de caju,143991.0,0.063300000000000037
1990,Caju,,
1990,Castanha de caju,107664.0,1.7653999999999987
1991,Caju,,
1991,Castanha de caju,185965.0,13.357799999999978
1992,Caju,,
1992,Castanha de caju,107955.0,113.80040000000001
1993,Caju,,
1993,Castanha de caju,77098.0,2036.4286000000009
1994,Caju,,
1994,Castanha de caju,149804.0,56835.0
1995,Caju,,
1995,Castanha de caju,185229.0,66269.0
1996,Caju,,
1996,Castanha de caju,167211.0,63506.0
1997,Caju,,
1997,Castanha de caju,125397.0,48215.0
1998,Caju,,
1998,Castanha de caju,54144.0,25954.0
1999,Caju,,
1999,Castanha de caju,145437.0,119642.0
2000,Caju,,
2000,Castanha de caju,138608.0,105696.0
2001,Caju,,
2001,Castanha de caju,124073.0,79935.0
2002,Caju,,
2002,Castanha de caju,164539.0,149469.0
2003,Caju,,
2003,Castanha de caju,183094.0,173874.0
2004,Caju,,
2004,Castanha de caju,187839.0,222077.0
2005,Caju,,
2005,Castanha de caju,152751.0,162627.0
2006,Caju,,
2006,Castanha de caju,243770.0,228198.0
2007,Caju,,
2007,Castanha de caju,140675.0,118985.0
2008,Caju,,
2008,Castanha de caju,243253.0,213330.0
2009,Caju,,
2009,Castanha de caju,220505.0,197403.0
2010,Caju,,
2010,Castanha de caju,104342.0,113190.0
2011,Caju,,
2011,Castanha de caju,230785.0,275983.0
2012,Caju,,
2012,Castanha de caju,80630.0,110810.0
2013,Caju,,
2013,Castanha de caju,109679.0,160351.0
2014,Caju,,
2014,Castanha de caju,107713.0,185405.0
2015,Caju,,
2015,Castanha de caju,103363.0,266853.0
2016,Caju,,
2016,Castanha de caju,74568.0,233759.0
2017,Caju,,
2017,Castanha de caju,133608.0,401125.0
2018,Caju,,
2018,Castanha de caju,141386.0,383750.0
2019,Caju,,
2019,Castanha de caju,138597.0,385933.0
2020,Caju,,
2020,Castanha de caju,139321.0,448347.0
2021,Caju,,
2021,Castanha de caju,111012.0,476620.0
2022,Caju,,
2022,Castanha de caju,147184.0,589525.0
2023,Caju,,
2023,Castanha de caju,127931.0,453212.0
2024,Caju,,
2024,Castanha de caju,159212.0,689381.0