ano,producao_total,valor_total_producao
1974,,
1975,,
1976,,
1977,,
1978,,
1979,,
1980,,
1981,,
1982,,
1983,,
1984,,
1985,,
1986,,
1987,,
1988,24816.0,0.001
1989,30117.0,0.0087999999999999988
1990,23897.0,0.23669999999999988
1991,42964.0,2.6740999999999997
1992,25507.0,17.7323
1993,29941.0,805.87200000000007
1994,32780.0,11893.0
1995,47207.0,15601.0
1996,24653.0,8241.0
1997,22145.0,6314.0
1998,6131.0,2652.0
1999,32224.0,27550.0
2000,33395.0,26311.0
2001,18850.0,11760.0
2002,16817.0,12408.0
2003,26662.0,24807.0
2004,44130.0,45534.0
2005,24497.0,25248.0
2006,41853.0,39606.0
2007,23744.0,18569.0
2008,56223.0,44230.0
2009,42963.0,34868.0
2010,14591.0,12079.0
2011,45773.0,49732.0
2012,8923.0,10716.0
2013,12863.0,17922.0
2014,12347.0,21475.0
2015,12751.0,33206.0
2016,11189.0,34912.0
2017,17100.0,50471.0
2018,24885.0,63391.0
2019,21631.0,52679.0
2020,23155.0,64775.0
2021,19020.0,73076.0
2022,21674.0,83621.0
2023,20992.0,52139.0
2024,25318.0,82189.0